lemma,id_slovo
.,1
@,2
:,3
",",4
být,5
Okamura,6
Tomio,7
prostřednictví,8
ten,9
YouTubat,10
a,11
na,12
v,13
se,14
že,15
?,16
já,17
mít,18
s,19
on,20
z,21
o,22
za,23
SPD,24
do,25
ale,26
tak,27
můj,28
!,29
_,30
-,31
člověk,32
který,33
co,34
ne,35
),36
pro,37
český,38
chtít,39
moci,40
k,41
už,42
všechen,43
jako,44
aby,45
ČR,46
i,47
když,48
vláda,49
#,50
Babiš,51
EU,52
dnes,53
Zeman,54
jak,55
rok,56
PREZIDENTmluvec,57
ty,58
muset,59
politika,60
jen,61
(,62
svůj,63
prezident,64
AndrejBabis,65
další,66
hodně,67
proti,68
od,69
také,70
volba,71
říci,72
tam,73
migrant,74
Posledniskaut,75
ještě,76
vědět,77
jeho,78
po,79
ano,80
televize,81
kdo,82
sněmovna,83
tady,84
hnutí,85
stát,86
strana,87
dobrý,88
podle,89
jeden,90
jít,91
Andrej,92
říkat,93
u,94
velký,95
až,96
dělat,97
nebo,98
před,99
islámský,100
moc,101
než,102
protože,103
tento,104
zpráva,105
1,106
mezi,107
někdo,108
asi,109
den,110
pan,111
republika,112
zákon,113
občan,114
podpora,115
právě,116
Evropa,117
politický,118
ani,119
prosazovat,120
referendum,121
země,122
%,123
proč,124
;,125
evropský,126
pak,127
takový,128
ČSSD,129
jiný,130
poslanec,131
2,132
celý,133
každý,134
kde,135
nový,136
takže,137
tenhle,138
fakt,139
teď,140
návrh,141
něco,142
islám,143
podporovat,144
Soukup,145
vidět,146
plat,147
video,148
vysílání,149
žena,150
bez,151
demokracie,152
dobře,153
Jaromír,154
no,155
problém,156
dát,157
nic,158
první,159
rád,160
Sobotka,161
dítě,162
imigrant,163
ministr,164
pravda,165
projev,166
svoboda,167
ČT,168
jo,169
řešení,170
slovo,171
vystoupení,172
zase,173
kvůli,174
Le,175
migrace,176
premiér,177
přijít,178
volební,179
–,180
děkovat,181
hrad,182
Praha,183
přát,184
senát,185
státní,186
24,187
cz,188
doba,189
nějaký,190
odmítat,191
peníze,192
podpořit,193
rozhovor,194
začít,195
kampaň,196
konference,197
rodina,198
tisíc,199
vládní,200
volič,201
člen,202
dnešní,203
jenž,204
konec,205
myslit,206
nad,207
při,208
prostě,209
včera,210
život,211
Babišův,212
BlanikZ,213
Čech,214
druhý,215
Jan,216
kdy,217
miliarda,218
Miloš,219
mluvit,220
národ,221
pokud,222
politik,223
rozpočet,224
třeba,225
tvůj,226
změna,227
2017,228
4,229
dostat,230
Ovčáček,231
právo,232
program,233
seznam,234
špatný,235
vůbec,236
žádný,237
10,238
boj,239
jaký,240
místo,241
nikdy,242
oběť,243
opravdu,244
skvělý,245
stejně,246
takhle,247
tři,248
aréna,249
čas,250
diktát,251
jednání,252
kraj,253
médium,254
město,255
milión,256
názor,257
pomáhat,258
práce,259
proto,260
vypadat,261
zájem,262
1967,263
aspoň,264
jestli,265
konečně,266
Marine,267
Midlinka,268
mnoho,269
národní,270
odpovědnost,271
pen,272
poslední,273
přímý,274
snad,275
udělat,276
útok,277
veřejný,278
výsledek,279
zákaz,280
5,281
demonstrace,282
fotka,283
JaroslavKmenta,284
kandidát,285
najít,286
německý,287
předseda,288
sám,289
škola,290
slušný,291
sociální,292
debata,293
duel,294
dva,295
firma,296
jediný,297
jet,298
jinak,299
kandidovat,300
malý,301
násilí,302
navrhovat,303
ODS,304
památka,305
potřeba,306
prý,307
TomZdechovsky,308
úplně,309
3,310
CZ,311
JosefKokta,312
obec,313
oko,314
otázka,315
považovat,316
psát,317
síla,318
